region;country;clab;rname;eu;dens;fert;nmigr;natg;life;lifef;lifem;gdp_pc;inc_pc;empl;emplf;emplm;unempl;unemplf;unemplm;hedu;heduf;hedum;ledu;leduf;ledum
FRA3:Guyane;France;FR;Guyane;y;3;3,52;-2,2;23;NA;NA;NA;16;9,1;52,5;44;62,2;21,9;26,6;17,8;19,1;19,1;19;35,5;35,5;35,6
FRA4:La Réunion;France;FR;La Réunion;y;336,1;2,45;-6,6;11,6;81;84,6;77,3;19,2;13,9;53,4;47,6;59,8;24,1;25;23,3;20,2;21,2;19;19,3;20,1;18,6
FRA5:Mayotte;France;FR;Mayotte;y;606,7;NA;NA;NA;NA;NA;NA;8,4;4,9;46,3;34,8;60;23,7;30,6;18;NA;NA;NA;NA;NA;NA
HR03:Jadranska Hrvatska;Croatia;HR;Jadranska Hrvatska;y;56,8;1,44;-0,3;-2,3;79,3;82,3;76,3;15,5;9;59,5;56,3;62,7;17;17;16,9;24,5;27,5;21,6;0,9;0,4;1,4
HR04:Kontinentalna Hrvatska;Croatia;HR;Kontinentalna Hrvatska;y;88,8;1,47;-3,5;-2,8;77,2;80,5;73,9;16,4;9,3;61;55,5;66,5;15,9;16,9;15,1;21,8;24,3;19,1;3,7;2,8;4,6
HU10:Közép-Magyarország;Hungary;HU;Közép-Magyarország;y;430,1;1,29;8,1;-1,9;77,4;80,4;74,1;29,5;9;72,3;65,5;79,5;5,3;5,4;5,3;37,1;39,5;34,6;8,9;9,3;8,6
HU21:Közép-Dunántúl;Hungary;HU;Közép-Dunántúl;y;96,2;1,43;-2;-3,4;75,8;79,2;72,3;16,8;9,4;73,1;65,7;80,5;4,4;5;4;19,4;22,3;16,6;10,2;8,7;11,7
HU22:Nyugat-Dunántúl;Hungary;HU;Nyugat-Dunántúl;y;86,9;1,33;3,6;-4,2;76,1;79,5;72,7;19,5;9,3;72,2;65;79,4;3,8;4,2;3,5;20,1;22,2;18;8,2;8;8,4
HU23:Dél-Dunántúl;Hungary;HU;Dél-Dunántúl;y;64,3;1,47;-4,4;-4,7;75,5;79;71,9;12,4;8,4;64,9;59,2;70,8;8,1;8,5;7,8;18,5;22,7;14,1;14,1;14,5;13,6
HU31:Észak-Magyarország;Hungary;HU;Észak-Magyarország;y;87,2;1,65;-6,1;-4,2;74,4;78,2;70,5;11,6;7,8;64,3;57,3;71,4;8,7;8,8;8,5;17,9;20,5;15,2;16,8;17,7;16
HU32:Észak-Alföld;Hungary;HU;Észak-Alföld;y;83,6;1,59;-1,1;-2,1;75,3;79;71,3;11,8;7,9;64,1;57,5;70,8;10,9;11;10,7;17,1;21,2;12,9;13,7;11,9;15,3
HU33:Dél-Alföld;Hungary;HU;Dél-Alföld;y;69,5;1,39;-1,3;-5,3;75,5;79,1;71,8;13;8,4;67;60,6;73,6;7,9;8,3;7,5;18,8;22,2;15,4;11,3;10,5;12,1
IE01:Border, Midland and Western;Ireland;IE;Border, Midland and Western;y;38,3;2,07;-12,3;7,1;81,5;83,8;79,2;24,3;12,5;66,9;60,2;73,7;10,6;8,6;12;36,7;42,9;30,4;8,8;7,3;10,2
IE02:Southern and Eastern;Ireland;IE;Southern and Eastern;y;93,3;1,9;0,1;8,7;81,4;83,4;79,4;41,3;14,3;69,4;63,4;75,5;9;7,3;10,4;44,9;47,8;41,8;6,3;4,7;7,8
